seq,model,baseline_format,target_format,metric,baseline_value,target_value,improvement_factor
Tracking1,Salmones2024,Pytorch,FP16,AssA_AUC,0.5345168943214962,0.546171506734511,1.0218040113171893
Tracking1,Salmones2024,Pytorch,FP16,IDF1,0.5920853716565764,0.5912497116408739,0.9985886156697903
Tracking1,Salmones2024,Pytorch,FP16,HOTA_AUC,0.47118483141325285,0.47424295311543274,1.0064902804553524
Tracking1,Salmones2024,Pytorch,FP16,MT_percent,0.2638888888888889,0.25,0.9473684210526315
Tracking1,Salmones2024,Pytorch,FP16,IDSW,9.5,9.0,0.9473684210526315
Tracking1,Salmones2024,Pytorch,FP16,Frag,43.5,43.5,1.0
Tracking1,yolo11l,Pytorch,FP16,AssA_AUC,0.5148918649739274,0.5097985163633889,0.990107925649988
Tracking1,yolo11l,Pytorch,FP16,IDF1,0.4909760871097999,0.48675065019548114,0.991393803027776
Tracking1,yolo11l,Pytorch,FP16,HOTA_AUC,0.3847008243063622,0.38228531180494674,0.993721062319607
Tracking1,yolo11l,Pytorch,FP16,MT_percent,0.027777777777777776,0.027777777777777776,1.0
Tracking1,yolo11l,Pytorch,FP16,IDSW,2.0,0.0,0.0
Tracking1,yolo11l,Pytorch,FP16,Frag,29.5,29.5,1.0
Tracking1,yolo11m,Pytorch,FP16,AssA_AUC,0.5365582994685307,0.5277282891271062,0.9835432415262783
Tracking1,yolo11m,Pytorch,FP16,IDF1,0.6092337576170272,0.6013901737393894,0.9871254936556414
Tracking1,yolo11m,Pytorch,FP16,HOTA_AUC,0.45992365582318245,0.4561757935537034,0.9918511208935947
Tracking1,yolo11m,Pytorch,FP16,MT_percent,0.19444444444444445,0.1388888888888889,0.7142857142857143
Tracking1,yolo11m,Pytorch,FP16,IDSW,5.0,8.0,1.6
Tracking1,yolo11m,Pytorch,FP16,Frag,32.5,38.0,1.1692307692307693
Tracking1,yolov8l,Pytorch,FP16,AssA_AUC,0.5210320832435347,0.5207959110592644,0.9995467223768638
Tracking1,yolov8l,Pytorch,FP16,IDF1,0.5521722729656218,0.5563333123227481,1.0075357629508959
Tracking1,yolov8l,Pytorch,FP16,HOTA_AUC,0.43539742765287337,0.43666044655053193,1.0029008414323144
Tracking1,yolov8l,Pytorch,FP16,MT_percent,0.19444444444444445,0.19444444444444445,1.0
